taxid	organism_name	annotation_id	annotation_url	assembly_accession	assembly_url	busco_complete	busco_duplicated	busco_single_copy	busco_fragmented	busco_missing
8128	Oreochromis niloticus	77a1b0e9d1aa5f5aa686dd2657112d2f	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Oreochromis_niloticus/GCA_001858045.3/ensembl/geneset/2019_09/genes.gff3.gz	GCA_001858045.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/045/GCA_001858045.3_O_niloticus_UMD_NMBU/GCA_001858045.3_O_niloticus_UMD_NMBU_genomic.fna.gz	100.0	0.0	100.0	0.0	0.0
9031	Gallus gallus	987b42a7f1f0e96f38a66c54005490b7	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.gff.gz	GCF_016699485.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna.gz	98.4	0.8	97.7	0.8	0.8
9258	Ornithorhynchus anatinus	63e2aa2fde5b2edbcc4ffb0c923e1214	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4/GCF_004115215.2_mOrnAna1.pri.v4_genomic.gff.gz	GCF_004115215.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4/GCF_004115215.2_mOrnAna1.pri.v4_genomic.fna.gz	94.6	0.8	93.8	3.9	1.6
9261	Tachyglossus aculeatus	5b813eb8c7eb185f9d803661d1e482c3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri/GCF_015852505.1_mTacAcu1.pri_genomic.gff.gz	GCF_015852505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri/GCF_015852505.1_mTacAcu1.pri_genomic.fna.gz	99.2	0.8	98.4	0.0	0.8
9281	Dasyurus maculatus	4385eebc1fe19cabe6cebb60cbca5c5f	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/593/285/GCA_048593285.1_ASM4859328v1/GCA_048593285.1_ASM4859328v1_genomic.gff.gz	GCA_048593285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/593/285/GCA_048593285.1_ASM4859328v1/GCA_048593285.1_ASM4859328v1_genomic.fna.gz	98.4	7.0	91.5	0.8	0.8
9301	Sminthopsis crassicaudata	e96281c6be8fab85e98007516042ef93	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/235/GCF_048593235.1_ASM4859323v1/GCF_048593235.1_ASM4859323v1_genomic.gff.gz	GCF_048593235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/235/GCF_048593235.1_ASM4859323v1/GCF_048593235.1_ASM4859323v1_genomic.fna.gz	97.7	2.3	95.3	0.0	2.3
9305	Sarcophilus harrisii	3beb8bbab171818c192f5ca1f4116b27	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_genomic.gff.gz	GCF_902635505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_genomic.fna.gz	98.4	1.6	96.9	1.6	0.0
9315	Notamacropus eugenii	32ff2280a214e147d0e1008157a2bc2c	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/372/415/GCF_028372415.1_mMacEug1.pri_v2/GCF_028372415.1_mMacEug1.pri_v2_genomic.gff.gz	GCF_028372415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/372/415/GCF_028372415.1_mMacEug1.pri_v2/GCF_028372415.1_mMacEug1.pri_v2_genomic.fna.gz	99.2	0.8	98.4	0.8	0.0
9337	Trichosurus vulpecula	c79568820890b8ceb6a222705a215841	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri/GCF_011100635.1_mTriVul1.pri_genomic.gff.gz	GCF_011100635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri/GCF_011100635.1_mTriVul1.pri_genomic.fna.gz	99.2	10.1	89.1	0.8	0.0
9361	Dasypus novemcinctus	1f8cd7da867632c4ee8fda91a9859a6b	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/445/035/GCF_030445035.2_mDasNov1.1.hap2/GCF_030445035.2_mDasNov1.1.hap2_genomic.gff.gz	GCF_030445035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/445/035/GCF_030445035.2_mDasNov1.1.hap2/GCF_030445035.2_mDasNov1.1.hap2_genomic.fna.gz	100.0	0.8	99.2	0.0	0.0
9365	Erinaceus europaeus	82fa0905abdb095e7f5d3b5d0cc4bfef	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Erinaceus_europaeus/GCA_950295315.1/ensembl/geneset/2024_09/genes.gff3.gz	GCA_950295315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/950/295/315/GCA_950295315.1_mEriEur2.1/GCA_950295315.1_mEriEur2.1_genomic.fna.gz	98.4	1.6	96.9	0.8	0.8
9371	Echinops telfairi	ba02dbfbb0ef85edb6e4d0cfc160c971	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2/GCF_000313985.2_ASM31398v2_genomic.gff.gz	GCF_000313985.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2/GCF_000313985.2_ASM31398v2_genomic.fna.gz	93.0	3.1	89.9	6.2	0.8
9375	Talpa europaea	52593e3e4ca1b4569f599e9de689f24f	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/194/135/GCF_964194135.1_mTalEur1.hap1.1/GCF_964194135.1_mTalEur1.hap1.1_genomic.gff.gz	GCF_964194135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/194/135/GCF_964194135.1_mTalEur1.hap1.1/GCF_964194135.1_mTalEur1.hap1.1_genomic.fna.gz	99.2	5.4	93.8	0.8	0.0
9402	Pteropus alecto	2879d625bc481948b045f5f721f0fe49	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/575/GCF_000325575.1_ASM32557v1/GCF_000325575.1_ASM32557v1_genomic.gff.gz	GCF_000325575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/575/GCF_000325575.1_ASM32557v1/GCF_000325575.1_ASM32557v1_genomic.fna.gz	97.7	1.6	96.1	2.3	0.0
9407	Rousettus aegyptiacus	88b005277768b3d283993e69b6582b0d	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/176/215/GCF_014176215.1_mRouAeg1.p/GCF_014176215.1_mRouAeg1.p_genomic.gff.gz	GCF_014176215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/176/215/GCF_014176215.1_mRouAeg1.p/GCF_014176215.1_mRouAeg1.p_genomic.fna.gz	99.2	0.8	98.4	0.8	0.0
9414	Megaderma spasma	e5cfa10ed89fc729885d89a716326cf0	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/880/595/GCA_043880595.1_ASM4388059v1/GCA_043880595.1_ASM4388059v1_genomic.gff.gz	GCA_043880595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/880/595/GCA_043880595.1_ASM4388059v1/GCA_043880595.1_ASM4388059v1_genomic.fna.gz	100.0	1.6	98.4	0.0	0.0
9417	Artibeus jamaicensis	c39179f33f5c772369726d4bc69bccb4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/435/GCF_021234435.1_CSHL_Jam_final/GCF_021234435.1_CSHL_Jam_final_genomic.gff.gz	GCF_021234435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/435/GCF_021234435.1_CSHL_Jam_final/GCF_021234435.1_CSHL_Jam_final_genomic.fna.gz	99.2	3.1	96.1	0.8	0.0
9423	Phyllostomus hastatus	a5108b7feb96db858342984978c61d0e	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/186/645/GCF_019186645.2_TTU_PhHast_1.1/GCF_019186645.2_TTU_PhHast_1.1_genomic.gff.gz	GCF_019186645.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/186/645/GCF_019186645.2_TTU_PhHast_1.1/GCF_019186645.2_TTU_PhHast_1.1_genomic.fna.gz	100.0	1.6	98.4	0.0	0.0
9430	Desmodus rotundus	0479f32e0100c15092ebdea97af18941	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/682/495/GCF_022682495.2_HLdesRot8A.1/GCF_022682495.2_HLdesRot8A.1_genomic.gff.gz	GCF_022682495.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/682/495/GCF_022682495.2_HLdesRot8A.1/GCF_022682495.2_HLdesRot8A.1_genomic.fna.gz	99.2	1.6	97.7	0.8	0.0
9433	Miniopterus schreibersii	6a6f6213fa172d27d2c421e3d166c234	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/146/895/GCF_964146895.1_mMinSch1.hap1.2/GCF_964146895.1_mMinSch1.hap1.2_genomic.gff.gz	GCF_964146895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/146/895/GCF_964146895.1_mMinSch1.hap1.2/GCF_964146895.1_mMinSch1.hap1.2_genomic.fna.gz	99.2	0.8	98.4	0.0	0.8
9438	Tadarida brasiliensis	72a97cf78c3aea2c84892282010f990d	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/848/825/GCA_030848825.1_DD_mTadBra1_pri/GCA_030848825.1_DD_mTadBra1_pri_genomic.gff.gz	GCA_030848825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/848/825/GCA_030848825.1_DD_mTadBra1_pri/GCA_030848825.1_DD_mTadBra1_pri_genomic.fna.gz	100.0	3.1	96.9	0.0	0.0
9440	Antrozous pallidus	148e0c21f41fdf41e161723f605a3215	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/665/GCA_027563665.2_DD_ASM_mAP_20210503/GCA_027563665.2_DD_ASM_mAP_20210503_genomic.gff.gz	GCA_027563665.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/665/GCA_027563665.2_DD_ASM_mAP_20210503/GCA_027563665.2_DD_ASM_mAP_20210503_genomic.fna.gz	98.4	0.8	97.7	1.6	0.0
9447	Lemur catta	cf36fc51b5846d2d671872e304037729	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/605/GCF_020740605.2_mLemCat1.pri/GCF_020740605.2_mLemCat1.pri_genomic.gff.gz	GCF_020740605.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/605/GCF_020740605.2_mLemCat1.pri/GCF_020740605.2_mLemCat1.pri_genomic.fna.gz	100.0	3.9	96.1	0.0	0.0
9460	Cheirogaleus medius	f74189ee28847417cd9f6c95b0af5c10	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Cheirogaleus_medius/GCA_004024725.1/ensembl/geneset/2020_10/genes.gff3.gz	GCA_004024725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/725/GCA_004024725.1_CheMed_v1_BIUU/GCA_004024725.1_CheMed_v1_BIUU_genomic.fna.gz	80.6	3.1	77.5	9.3	10.1
9470	Nycticebus coucang	5bd32e53f6958105624ac5ef5df0578d	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/406/575/GCF_027406575.1_mNycCou1.pri/GCF_027406575.1_mNycCou1.pri_genomic.gff.gz	GCF_027406575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/406/575/GCF_027406575.1_mNycCou1.pri/GCF_027406575.1_mNycCou1.pri_genomic.fna.gz	99.2	14.0	85.3	0.8	0.0
9483	Callithrix jacchus	21f7b32fd40b53534d6015c505b0510c	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/354/715/GCF_049354715.1_calJac240_pri/GCF_049354715.1_calJac240_pri_genomic.gff.gz	GCF_049354715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/354/715/GCF_049354715.1_calJac240_pri/GCF_049354715.1_calJac240_pri_genomic.fna.gz	99.2	3.9	95.3	0.8	0.0
9490	Saguinus oedipus	9c5d459a2c2a150b09f8e8cdc014e9bd	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/835/075/GCA_031835075.1_ASM3183507v1/GCA_031835075.1_ASM3183507v1_genomic.gff.gz	GCA_031835075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/835/075/GCA_031835075.1_ASM3183507v1/GCA_031835075.1_ASM3183507v1_genomic.fna.gz	41.1	9.3	31.8	34.9	24.0
9509	Ateles geoffroyi	cc3769cdef8d4a716e385b9b947efed3	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Ateles_geoffroyi/GCA_004024785.1/ensembl/geneset/2020_09/genes.gff3.gz	GCA_004024785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/785/GCA_004024785.1_AteGeo_v1_BIUU/GCA_004024785.1_AteGeo_v1_BIUU_genomic.fna.gz	79.1	2.3	76.7	9.3	11.6
9515	Sapajus apella	c309c79c73bd3d1184434adeb45b9be2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/761/245/GCF_009761245.1_GSC_monkey_1.0/GCF_009761245.1_GSC_monkey_1.0_genomic.gff.gz	GCF_009761245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/761/245/GCF_009761245.1_GSC_monkey_1.0/GCF_009761245.1_GSC_monkey_1.0_genomic.fna.gz	99.2	3.9	95.3	0.8	0.0
9531	Cercocebus atys	7f5e767317c2f3640459e1b0337afc92	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/945/GCF_000955945.1_Caty_1.0/GCF_000955945.1_Caty_1.0_genomic.gff.gz	GCF_000955945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/945/GCF_000955945.1_Caty_1.0/GCF_000955945.1_Caty_1.0_genomic.fna.gz	96.9	0.8	96.1	3.1	0.0
9541	Macaca fascicularis	53ee1d60f9c34ede4efcae7aaf06ebd7	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/993/035/GCF_037993035.2_T2T-MFA8v1.1/GCF_037993035.2_T2T-MFA8v1.1_genomic.gff.gz	GCF_037993035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/993/035/GCF_037993035.2_T2T-MFA8v1.1/GCF_037993035.2_T2T-MFA8v1.1_genomic.fna.gz	97.7	0.0	97.7	1.6	0.8
9544	Macaca mulatta	14bde36efc5bd2c1e2a7b72bc61ca4af	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/765/GCF_003339765.1_Mmul_10/GCF_003339765.1_Mmul_10_genomic.gff.gz	GCF_003339765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/765/GCF_003339765.1_Mmul_10/GCF_003339765.1_Mmul_10_genomic.fna.gz	97.7	0.8	96.9	2.3	0.0
9545	Macaca nemestrina	e4367383fa47f999a26af3e73f618de8	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Macaca_nemestrina/GCA_000956065.1/ensembl/geneset/2018_01/genes.gff3.gz	GCA_000956065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/065/GCA_000956065.1_Mnem_1.0/GCA_000956065.1_Mnem_1.0_genomic.fna.gz	98.4	1.6	96.9	1.6	0.0
9555	Papio anubis	b9b49d3892819d04d37b98a84c11925c	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Papio_anubis/GCA_008728515.1/ensembl/geneset/2021_02/genes.gff3.gz	GCA_008728515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/728/515/GCA_008728515.1_Panubis1.0/GCA_008728515.1_Panubis1.0_genomic.fna.gz	96.9	2.3	94.6	1.6	1.6
9565	Theropithecus gelada	6b568bc7065a0fcddcd210bdf6dbdc37	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/869/185/GCF_040869185.1_ASM4086918v1/GCF_040869185.1_ASM4086918v1_genomic.gff.gz	GCF_040869185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/869/185/GCF_040869185.1_ASM4086918v1/GCF_040869185.1_ASM4086918v1_genomic.fna.gz	99.2	2.3	96.9	0.8	0.0
9568	Mandrillus leucophaeus	3bcc8f90c88bc5509675b55dd82905fb	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Mandrillus_leucophaeus/GCA_000951045.1/ensembl/geneset/2020_03/genes.gff3.gz	GCA_000951045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/045/GCA_000951045.1_Mleu.le_1.0/GCA_000951045.1_Mleu.le_1.0_genomic.fna.gz	93.8	0.8	93.0	5.4	0.8
9589	Hylobates pileatus	c58ccdd2db826e89d175a7bafed91b42	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Hylobates_pileatus/GCA_021498465.1/ensembl/geneset/2022_07/genes.gff3.gz	GCA_021498465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/498/465/GCA_021498465.1_ASM2149846v1/GCA_021498465.1_ASM2149846v1_genomic.fna.gz	96.1	0.8	95.3	3.1	0.8
9590	Symphalangus syndactylus	1406b4d3c9ac0f5b113d975e52f6605e	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Symphalangus_syndactylus/GCA_028878055.3/ensembl/geneset/2025_04/genes.gff3.gz	GCA_028878055.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/878/055/GCA_028878055.3_NHGRI_mSymSyn1-v2.1_pri/GCA_028878055.3_NHGRI_mSymSyn1-v2.1_pri_genomic.fna.gz	98.4	2.3	96.1	1.6	0.0
9595	Gorilla gorilla gorilla	4d2cdd1ca6de7354a920015fde17680f	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/281/585/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri_genomic.gff.gz	GCF_029281585.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/281/585/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri_genomic.fna.gz	97.7	3.1	94.6	2.3	0.0
9597	Pan paniscus	a09bba491a8af3f20d7f0cbd38760384	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/289/425/GCF_029289425.2_NHGRI_mPanPan1-v2.1_pri/GCF_029289425.2_NHGRI_mPanPan1-v2.1_pri_genomic.gff.gz	GCF_029289425.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/289/425/GCF_029289425.2_NHGRI_mPanPan1-v2.1_pri/GCF_029289425.2_NHGRI_mPanPan1-v2.1_pri_genomic.fna.gz	98.4	2.3	96.1	1.6	0.0
9598	Pan troglodytes	6c41b61ed7b5edc4637a1c4eccb1f571	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Pan_troglodytes/GCA_000001515.5/ensembl/geneset/2020_03/genes.gff3.gz	GCA_000001515.5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/515/GCA_000001515.5_Pan_tro_3.0/GCA_000001515.5_Pan_tro_3.0_genomic.fna.gz	98.4	9.3	89.1	1.6	0.0
9600	Pongo pygmaeus	7308d682d4c73faeecc8a8daf8f1a687	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/625/GCF_028885625.2_NHGRI_mPonPyg2-v2.1_pri/GCF_028885625.2_NHGRI_mPonPyg2-v2.1_pri_genomic.gff.gz	GCF_028885625.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/625/GCF_028885625.2_NHGRI_mPonPyg2-v2.1_pri/GCF_028885625.2_NHGRI_mPonPyg2-v2.1_pri_genomic.fna.gz	98.4	6.2	92.2	1.6	0.0
9601	Pongo abelii	ccb0d61de40f693db4cb20f361ff3b68	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Pongo_abelii/GCA_028885655.3/ensembl/geneset/2025_05/genes.gff3.gz	GCA_028885655.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/885/655/GCA_028885655.3_NHGRI_mPonAbe1-v2.1_pri/GCA_028885655.3_NHGRI_mPonAbe1-v2.1_pri_genomic.fna.gz	98.4	4.7	93.8	1.6	0.0
9606	Homo sapiens	d8c8451e6dadbaab8618b44ad27e0263	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_021950905.1/ensembl/geneset/2022_07/genes.gff3.gz	GCA_021950905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/950/905/GCA_021950905.1_HG002.pat.cur.20211005/GCA_021950905.1_HG002.pat.cur.20211005_genomic.fna.gz	97.7	0.8	96.9	2.3	0.0
9612	Canis lupus	ae13e1a23617a12a98ed6e512c50183b	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Canis_lupus/GCA_905319855.2/ensembl/geneset/2022_01/genes.gff3.gz	GCA_905319855.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/319/855/GCA_905319855.2_mCanLor1.2/GCA_905319855.2_mCanLor1.2_genomic.fna.gz	95.3	3.9	91.5	3.1	1.6
9615	Canis lupus familiaris	2bf998eb004ca80dcc8ed2d892c7d830	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.5_Dog10K_Boxer_Tasha/GCF_000002285.5_Dog10K_Boxer_Tasha_genomic.gff.gz	GCF_000002285.5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.5_Dog10K_Boxer_Tasha/GCF_000002285.5_Dog10K_Boxer_Tasha_genomic.fna.gz	100.0	3.9	96.1	0.0	0.0
9622	Lycaon pictus	fb3dbe552678236aff427edaedc267b6	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lycaon_pictus/GCA_040955705.1/ensembl/geneset/2025_05/genes.gff3.gz	GCA_040955705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/955/705/GCA_040955705.1_LycPic1.final.hap2/GCA_040955705.1_LycPic1.final.hap2_genomic.fna.gz	99.2	2.3	96.9	0.8	0.0
